
[5 rows x 21 columns]
         848854489 function calls (835604717 primitive calls) in 803.907 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
    72206    0.096    0.000    1.412    0.000 <__array_function__ internals>:2(all)
     8860    0.008    0.000    0.114    0.000 <__array_function__ internals>:2(append)
      231    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(argsort)
    56777    0.111    0.000    1.146    0.000 <__array_function__ internals>:2(array_equal)
      231    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(atleast_2d)
      142    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(bincount)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
    10329    0.013    0.000    0.555    0.000 <__array_function__ internals>:2(concatenate)
   717496    1.246    0.000    3.418    0.000 <__array_function__ internals>:2(copyto)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(cumsum)
    55223    0.118    0.000    1.598    0.000 <__array_function__ internals>:2(delete)
       31    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(diff)
    17866    0.021    0.000    0.047    0.000 <__array_function__ internals>:2(empty_like)
       60    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(insert)
      146    0.000    0.000    0.016    0.000 <__array_function__ internals>:2(isclose)
       27    0.000    0.000    0.014    0.001 <__array_function__ internals>:2(lexsort)
       60    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(moveaxis)
    60782    0.120    0.000    0.282    0.000 <__array_function__ internals>:2(ndim)
       83    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(nonzero)
   143192    0.273    0.000    3.231    0.000 <__array_function__ internals>:2(prod)
    55322    0.099    0.000    0.334    0.000 <__array_function__ internals>:2(putmask)
     8860    0.007    0.000    0.043    0.000 <__array_function__ internals>:2(ravel)
       31    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(repeat)
      146    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(result_type)
    17866    0.027    0.000    0.596    0.000 <__array_function__ internals>:2(roll)
       98    0.000    0.000    0.066    0.001 <__array_function__ internals>:2(sort)
      231    0.001    0.000    0.377    0.002 <__array_function__ internals>:2(vstack)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(where)
    682/8    0.007    0.000    1.131    0.141 <frozen importlib._bootstrap>:1002(_find_and_load)
        5    0.000    0.000    0.530    0.106 <frozen importlib._bootstrap>:1018(_gcd_import)
1182496/1182237    1.433    0.000    2.244    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     1373    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:112(release)
      682    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      682    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:156(__enter__)
      682    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:160(__exit__)
     1373    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      676    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
      691    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
    846/6    0.001    0.000    1.123    0.187 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     5079    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
      565    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      674    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:351(__init__)
     1195    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:385(cached)
     1175    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
      651    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      651    0.003    0.000    0.024    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
  651/647    0.001    0.000    0.087    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      676    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:58(__init__)
    651/6    0.003    0.000    1.126    0.188 <frozen importlib._bootstrap>:659(_load_unlocked)
      673    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:736(find_spec)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:757(create_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
      653    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:811(find_spec)
     1373    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:87(acquire)
     2670    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:874(__enter__)
     2670    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:878(__exit__)
      673    0.006    0.000    0.189    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
    682/8    0.003    0.000    1.131    0.141 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      565    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
